File,Volume1,Volume2,Volume3
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1920_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.182289e-01,4.630404e-01,4.826463e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-2400_ses-1_run-1_desc-preproc_T1w_seg8.mat',5.772210e-01,4.478516e-01,4.749907e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-3600_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.801062e-01,3.925360e-01,4.210492e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-3700_ses-1_run-1_desc-preproc_T1w_seg8.mat',8.759152e-01,3.586169e-01,4.875423e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-3900_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.569437e-01,3.017011e-01,5.056076e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-4200_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.971248e-01,2.392495e-01,3.127790e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-4300_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.782009e-01,3.708401e-01,4.654250e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-4700_ses-1_run-1_desc-preproc_T1w_seg8.mat',8.657134e-01,3.849561e-01,2.336433e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-5700_ses-1_run-1_desc-preproc_T1w_seg8.mat',8.500255e-01,4.223563e-01,2.662270e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-7000_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.860386e-01,5.024422e-01,3.128675e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-7400_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.961060e-01,3.245207e-01,2.420309e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-7800_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.271939e-01,3.040006e-01,4.968776e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-8000_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.752505e-01,2.111688e-01,4.926907e-01
